event_id,family,method,param_name,param_value,payload_bytes,payload_kb,effective_bpp,pixels,pixel_accuracy,balanced_accuracy,precision,recall,f1,dice,iou
CRACK500_20160222_081839_1281_1081,DEO,L3_residual_refinement,residual_fraction,0.25,2690.0,2.626953125,0.10722257653061225,200704,0.9971749441964236,0.9491066470478693,0.9152374670181678,0.8995137763368235,0.9073075031780146,0.9073075031780146,0.8303411131056762
CRACK500_20160222_081839_1281_1081,DEO,L3_residual_refinement,residual_fraction,0.5,2978.0,2.908203125,0.11870216836734694,200704,0.9981764190050971,0.9670055446064426,0.9458838963591519,0.9348460291731168,0.9403325720461729,0.9403325720461729,0.8873846153843423
CRACK500_20160222_081839_1281_1081,DEO,L3_residual_refinement,residual_fraction,0.75,3220.0,3.14453125,0.12834821428571427,200704,0.9991031568877502,0.987259656846692,0.9668916747023572,0.9750405186382577,0.9709489988541176,0.9709489988541176,0.9435382685066049
CRACK500_20160222_081839_1281_1081,DEO,L3_residual_refinement,residual_fraction,1.0,3497.0,3.4150390625,0.13938934948979592,200704,0.9999999999999951,0.9999999999998355,0.9999999999996758,0.9999999999996758,0.9999999994996758,0.9999999994996758,0.9999999999996758
CRACK500_20160222_081839_1281_1081,Reference,Full_reference_mask,reference,1.0,25088.0,24.5,1.0,200704,0.9999999999999951,0.9999999999998355,0.9999999999996758,0.9999999999996758,0.9999999994996758,0.9999999994996758,0.9999999999996758
CRACK500_20160222_081839_1281_361,DEO,L0_alert,none,0.0,90.0,0.087890625,0.003587372448979592,200704,0.9580626195790769,0.49999999999999745,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_081839_1281_361,DEO,L1_geometry_metrology,geometry,1.0,1630.0,1.591796875,0.06497130102040816,200704,0.21381238042091733,0.5896992516394165,0.05064136503658037,0.9999999999998811,0.09640085889178075,0.09640085889178075,0.05064136503658037
CRACK500_20160222_081839_1281_361,DEO,L2_visual_mask_support,support_side,8.0,1746.0,1.705078125,0.06959502551020408,200704,0.9580626195790769,0.49999999999999745,0.0,0.0,0.0,0.0,0.0
CRACK500_20160222_081839_1281_361,DEO,L2_visual_mask_support,support_side,16.0,1764.0,1.72265625,0.0703125,200704,0.9666723134566279,0.7563591519766899,0.6210084033612575,0.5267910181774353,0.5700327821734763,0.5700327821734763,0.398633462195415
CRACK500_20160222_081839_1281_361,DEO,L2_visual_mask_support,support_side,24.0,1786.0,1.744140625,0.07118941326530612,200704,0.9685656489158115,0.763879638738389,0.6507868383403933,0.5404538434120778,0.5905108062803532,0.5905108062803532,0.41895376680784496
